=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.09 17:39:54 =~=~=~=~=~=~=~=~=~=~=~=


-- TURN Dynamic Systems --
  TM4313 Miniature GPSDO

HV: 1.0.1
SV: 1.0.8
SD: May 14 2023, 23:45:34
SN: 25142891
SC: 100.000000MHz
AF: 19/73

Ph =        21, D =  548850, GL = 0, LOS = 0, ST =        25, AF =  19, RT = 69
Ph =        23, D =  548850, GL = 0, LOS = 0, ST =        26, AF =  19, RT = 70
Ph =        27, D =  548850, GL = 0, LOS = 0, ST =        27, AF =  19, RT = 71
Ph =        29, D =  548850, GL = 0, LOS = 0, ST =        28, AF =  19, RT = 72
Ph =        31, D =  548850, GL = 0, LOS = 0, ST =        29, AF =  19, RT = 73
Ph =        35, D =  548850, GL = 0, LOS = 0, ST =        30, AF =  19, RT = 74
Ph =        36, D =  548850, GL = 0, LOS = 0, ST =        31, AF =  19, RT = 75
Ph =        39, D =  548850, GL = 0, LOS = 0, ST =        32, AF =  19, RT = 76
Ph =        42, D =  548850, GL = 0, LOS = 0, ST =        33, AF =  19, RT = 77
Ph =        44, D =  548850, GL = 0, LOS = 0, ST =        34, AF =  19, RT = 78
Ph =        47, D =  548850, GL = 0, LOS = 0, ST =        35, AF =  19, RT = 79
Ph =        48, D =  548850, GL = 0, LOS = 0, ST =        36, AF =  19, RT = 80
Ph =        51, D =  548850, GL = 0, LOS = 0, ST =        37, AF =  19, RT = 81
Ph =        53, D =  548850, GL = 0, LOS = 0, ST =        38, AF =  19, RT = 82
Ph =        55, D =  548850, GL = 0, LOS = 0, ST =        39, AF =  19, RT = 83
Ph =        57, D =  548850, GL = 0, LOS = 0, ST =        40, AF =  19, RT = 84
Ph =        59, D =  548850, GL = 0, LOS = 0, ST =        41, AF =  19, RT = 85
Ph =        62, D =  548850, GL = 0, LOS = 0, ST =        42, AF =  19, RT = 86
Ph =        63, D =  548850, GL = 0, LOS = 0, ST =        43, AF =  19, RT = 87
Ph =        64, D =  548850, GL = 0, LOS = 0, ST =        44, AF =  19, RT = 88
Ph =        67, D =  548850, GL = 0, LOS = 0, ST =        45, AF =  19, RT = 89
Ph =        68, D =  548850, GL = 0, LOS = 0, ST =        46, AF =  19, RT = 90
Ph =        70, D =  548850, GL = 0, LOS = 0, ST =        47, AF =  19, RT = 91
Ph =        71, D =  548850, GL = 0, LOS = 0, ST =        48, AF =  19, RT = 92
Ph =        74, D =  548850, GL = 0, LOS = 0, ST =        49, AF =  19, RT = 93
Ph =        74, D =  548850, GL = 0, LOS = 0, ST =        50, AF =  19, RT = 94
Ph =        76, D =  548850, GL = 0, LOS = 0, ST =        51, AF =  19, RT = 95
Ph =        77, D =  548850, GL = 0, LOS = 0, ST =        52, AF =  19, RT = 96
Ph =        79, D =  548850, GL = 0, LOS = 0, ST =        53, AF =  19, RT = 97
Ph =        80, D =  548850, GL = 0, LOS = 0, ST =        54, AF =  19, RT = 98
Ph =        81, D =  548850, GL = 0, LOS = 0, ST =        55, AF =  19, RT = 99
Ph =        81, D =  548850, GL = 0, LOS = 0, ST =        56, AF =  19, RT = 100
Ph =        84, D =  548850, GL = 0, LOS = 0, ST =        57, AF =  19, RT = 101
Ph =        84, D =  548850, GL = 0, LOS = 0, ST =        58, AF =  19, RT = 102
Ph =        86, D =  548850, GL = 0, LOS = 0, ST =        59, AF =  19, RT = 103
